广西卫视HD,rtp://238.200.200.235:5540
贵州卫视HD,rtp://238.200.200.86:5540
宁夏卫视,rtp://238.200.200.151:5540
新疆卫视,rtp://238.200.200.172:5540
西藏卫视,rtp://238.200.200.163:5540
吉林卫视HD,rtp://238.200.200.236:5540
海南卫视HD,rtp://238.200.200.85:5540
兵团卫视,rtp://238.200.200.173:5540
三沙卫视HD,rtp://238.200.200.95:5540
金鹰纪实HD,rtp://238.200.200.226:5540
中国教育-2,rtp://238.200.200.227:5540
中国教育-4HD,rtp://238.200.200.70:5540
延边卫视,rtp://238.200.200.75:5540
金鹰卡通HD,rtp://238.200.200.26:5540
卡酷少儿HD,rtp://238.200.200.218:5540
CHC家庭影院HD,rtp://238.200.200.60:5540
CHC动作电影HD,rtp://238.200.200.61:5540
CHC影迷电影HD,rtp://238.200.200.62:5540
风云足球HD,rtp://238.200.200.67:5540
央视台球HD,rtp://238.200.200.68:5540
兵器科技HD,rtp://238.200.200.69:5540
世界地理HD,rtp://238.200.200.73:5540
女性时尚HD,rtp://238.200.200.74:5540
高尔夫网球HD,rtp://238.200.200.76:5540
怀旧剧场HD,rtp://238.200.200.77:5540
风云剧场HD,rtp://238.200.200.80:5540
第一剧场HD,rtp://238.200.200.81:5540
风云音乐HD,rtp://238.200.200.82:5540
央视文化精品HD,rtp://238.200.200.83:5540
早期教育HD,rtp://238.200.200.84:5540
都市剧场HD,rtp://238.200.200.34:5540
欢笑剧场HD,rtp://238.200.200.35:5540
法治天地HD,rtp://238.200.200.99:5540
动漫秀场HD,rtp://238.200.200.33:5540
游戏风云HD,rtp://238.200.200.29:5540
生活时尚HD,rtp://238.200.200.31:5540
乐游HD,rtp://238.200.200.32:5540
茶频道HD,rtp://238.200.200.248:5540
快乐垂钓HD,rtp://238.200.200.247:5540
欢笑剧场4K,rtp://238.200.200.252:5540
新闻综合,rtp://238.200.200.87:5540
东方卫视,rtp://238.200.200.88:5540
都市频道,rtp://238.200.200.89:5540
东方影视,rtp://238.200.200.90:5540
第一财经,rtp://238.200.200.229:5540
五星体育,rtp://238.200.200.102:5540
哈哈炫动,rtp://238.200.200.105:5540
东方购物-1,rtp://238.200.200.93:5540
东方购物-2,rtp://238.200.200.94:5540
上海教育,rtp://238.200.200.24:5540
金色学堂,rtp://238.200.200.182:5540
CCTV-2,rtp://238.200.200.111:5540
CCTV-3,rtp://238.200.200.112:5540
CCTV-4,rtp://238.200.200.113:5540
CCTV-5,rtp://238.200.200.114:5540
CCTV-6,rtp://238.200.200.115:5540
CCTV-7,rtp://238.200.200.116:5540
CCTV-8,rtp://238.200.200.117:5540
CCTV-9,rtp://238.200.200.243:5540
CCTV-10,rtp://238.200.200.119:5540
CCTV-11,rtp://238.200.200.120:5540
CCTV-12,rtp://238.200.200.121:5540
